Match,Start Time,Red 1,Red 2,Red 3,Blue 1,Blue 2,Blue 3
Qualification 1,Fri 2/28 - 11:00 AM,6093,3322,6081,6548,7894,2337
Qualification 2,Fri 2/28 - 11:08 AM,5561,245,494,5509,5150,5641
Qualification 3,Fri 2/28 - 11:16 AM,5067,5260,5713,3568,5538,2145
Qualification 4,Fri 2/28 - 11:24 AM,6610,5697,6102,7491,8385,5084
Qualification 5,Fri 2/28 - 11:32 AM,4994,7784,1322,27,6091,7166
Qualification 6,Fri 2/28 - 11:40 AM,7056,3535,5527,8368,5215,4998
Qualification 7,Fri 2/28 - 11:48 AM,5612,1506,7894,5238,3542,5538
Qualification 8,Fri 2/28 - 11:56 AM,245,3322,5084,8385,5697,5561
Qualification 9,Fri 2/28 - 12:04 PM,5713,6548,6610,5150,7166,2145
Qualification 10,Fri 2/28 - 12:12 PM,6081,4998,5641,5612,6091,5260
Qualification 11,Fri 2/28 - 12:20 PM,4994,27,5509,2337,7491,8368
Qualification 12,Fri 2/28 - 12:28 PM,1506,3535,3542,1322,494,5067
Qualification 13,Fri 2/28 - 12:36 PM,6102,5238,6093,5215,7784,5527
Qualification 14,Fri 2/28 - 12:44 PM,2337,3568,5713,7056,245,6610
Qualification 15,Fri 2/28 - 12:52 PM,1506,5150,6091,5084,7894,3535
Qualification 16,Fri 2/28 - 1:30 PM,6102,1322,6081,5067,27,4998
Qualification 17,Fri 2/28 - 1:38 PM,7166,7491,7784,5612,3568,3322
Qualification 18,Fri 2/28 - 1:46 PM,8368,6548,5238,5260,8385,5641
Qualification 19,Fri 2/28 - 1:54 PM,3542,494,7056,5697,4994,5527
Qualification 20,Fri 2/28 - 2:02 PM,5215,6093,5538,5509,5561,2145
Qualification 21,Fri 2/28 - 2:10 PM,4998,1322,6548,5238,7894,3568
Qualification 22,Fri 2/28 - 2:18 PM,3322,5641,5527,245,5067,5150
Qualification 23,Fri 2/28 - 2:26 PM,5084,7784,8368,1506,6081,5697
Qualification 24,Fri 2/28 - 2:34 PM,6091,2145,6093,3542,7491,4994
Qualification 25,Fri 2/28 - 2:42 PM,8385,5215,6610,5538,6102,5260
Qualification 26,Fri 2/28 - 2:50 PM,494,3535,2337,27,5713,7056
Qualification 27,Fri 2/28 - 2:58 PM,5084,5509,5612,6548,7166,5561
Qualification 28,Fri 2/28 - 3:06 PM,5238,1322,5150,8368,3568,6093
Qualification 29,Fri 2/28 - 3:14 PM,3535,245,7491,5538,4994,3322
Qualification 30,Fri 2/28 - 3:22 PM,3542,5561,5067,4998,7784,7056
Qualification 31,Fri 2/28 - 3:30 PM,6091,5527,6081,7166,5713,8385
Qualification 32,Fri 2/28 - 3:38 PM,2145,5612,494,2337,6102,1506
Qualification 33,Fri 2/28 - 3:46 PM,5509,5215,5697,5260,6610,27
Qualification 34,Fri 2/28 - 3:54 PM,5641,8368,245,7894,4998,7166
Qualification 35,Fri 2/28 - 4:02 PM,7784,6102,3542,5538,5713,5150
Qualification 36,Fri 2/28 - 4:10 PM,5067,2337,5697,3568,6548,5215
Qualification 37,Fri 2/28 - 4:18 PM,5527,8385,5509,6093,5612,3535
Qualification 38,Fri 2/28 - 4:26 PM,6081,5561,4994,6610,494,6091
Qualification 39,Fri 2/28 - 4:34 PM,5641,7056,5084,7491,1506,5238
Qualification 40,Fri 2/28 - 4:42 PM,7894,5260,2145,1322,3322,27
Qualification 41,Fri 2/28 - 4:50 PM,6548,6091,3535,6102,5612,245
Qualification 42,Fri 2/28 - 4:58 PM,4998,5150,3568,5215,7056,1506
Qualification 43,Fri 2/28 - 5:06 PM,3322,5067,7894,494,8368,4994
Qualification 44,Fri 2/28 - 5:14 PM,5260,5527,3542,6081,5538,7491
Qualification 45,Fri 2/28 - 5:22 PM,5561,5641,7784,8385,2145,2337
Qualification 46,Fri 2/28 - 5:30 PM,27,5697,5238,7166,6610,6093
Qualification 47,Fri 2/28 - 5:38 PM,1322,5509,5538,5713,5084,4998
Qualification 48,Fri 2/28 - 5:46 PM,7491,5215,5067,6102,494,5641
Qualification 49,Fri 2/28 - 5:54 PM,5238,6081,7784,3322,3535,5561
Qualification 50,Fri 2/28 - 6:02 PM,6610,5509,7894,5527,2145,1506
Qualification 51,Fri 2/28 - 6:10 PM,6091,5713,8368,6093,5084,6548
Qualification 52,Fri 2/28 - 6:18 PM,1322,7166,5260,2337,3542,245
Qualification 53,Fri 2/28 - 6:26 PM,5612,27,8385,7056,4994,3568
Qualification 54,Fri 2/28 - 6:34 PM,5150,8368,5561,5697,7491,5713
Qualification 55,Fri 2/28 - 6:42 PM,5084,2337,7166,2145,5238,5067
Qualification 56,Fri 2/28 - 6:50 PM,8385,6548,4994,5527,4998,6102
Qualification 57,Sat 2/29 - 9:30 AM,3535,5641,27,3542,6093,5509
Qualification 58,Sat 2/29 - 9:37 AM,5150,7056,3322,6610,5612,1322
Qualification 59,Sat 2/29 - 9:44 AM,3568,5697,6091,7894,5538,494
Qualification 60,Sat 2/29 - 9:51 AM,1506,245,7784,5260,6081,5215
Qualification 61,Sat 2/29 - 9:58 AM,3322,6610,7491,7166,5067,8368
Qualification 62,Sat 2/29 - 10:05 AM,7894,6091,6102,7056,5238,5509
Qualification 63,Sat 2/29 - 10:12 AM,3535,3568,6081,5641,2145,5697
Qualification 64,Sat 2/29 - 10:19 AM,5713,5527,1322,5561,5215,5612
Qualification 65,Sat 2/29 - 10:26 AM,245,4998,5538,6093,27,2337
Qualification 66,Sat 2/29 - 10:33 AM,494,1506,8385,5150,3542,6548
Qualification 67,Sat 2/29 - 10:40 AM,4994,5084,6610,7784,5260,3535
Qualification 68,Sat 2/29 - 10:47 AM,2145,7056,7491,5509,6081,245
Qualification 69,Sat 2/29 - 10:54 AM,8368,8385,6102,5641,1322,3568
Qualification 70,Sat 2/29 - 11:01 AM,5713,6093,5561,4994,5260,1506
Qualification 71,Sat 2/29 - 11:08 AM,5215,2337,3322,6091,5084,3542
Qualification 72,Sat 2/29 - 11:15 AM,27,5150,7894,6548,5067,5612
Qualification 73,Sat 2/29 - 11:22 AM,5697,5538,7166,5527,5238,494
Qualification 74,Sat 2/29 - 11:29 AM,4998,5509,1506,7784,3322,6091
Qualification 75,Sat 2/29 - 11:36 AM,245,6093,5260,5067,6102,7056
Qualification 76,Sat 2/29 - 11:43 AM,5538,2337,5612,5697,8368,1322
Qualification 77,Sat 2/29 - 11:50 AM,7491,5641,6548,3535,5238,5713
Qualification 78,Sat 2/29 - 11:57 AM,3568,3542,27,5561,5527,5084
Qualification 79,Sat 2/29 - 12:04 PM,494,7166,5215,7784,7894,8385
Qualification 80,Sat 2/29 - 12:11 PM,2145,4994,4998,6081,6610,5150
